TEAM_ID,TEAM_NAME,SEASON,RA_FGM,RA_FGA,PT_FGM,PT_FGA,MR_FGM,MR_FGA,AB_FGM,AB_FGA,CN_FGM,CN_FGA
1610612750,Minnesota Timberwolves,2023,1642,2397,584,1346,300,707,721,2004,268,693
1610612740,New Orleans Pelicans,2023,1528,2293,660,1516,361,907,675,1850,223,596
1610612752,New York Knicks,2023,1457,2238,680,1472,277,702,714,2074,316,834
1610612760,Oklahoma City Thunder,2023,1589,2543,674,1594,277,663,756,2181,237,597
1610612753,Orlando Magic,2023,1481,2213,571,1338,388,972,655,1983,228,559
1610612755,Philadelphia 76ers,2023,1364,2088,598,1338,351,773,737,1916,297,742
1610612756,Phoenix Suns,2023,1120,1709,768,1718,564,1288,665,1861,336,799
1610612757,Portland Trail Blazers,2023,1518,2343,438,1051,305,718,827,2246,229,634
1610612758,Sacramento Kings,2023,1517,2184,628,1317,302,675,838,2320,288,727
1610612759,San Antonio Spurs,2023,1539,2382,742,1720,342,853,689,2026,221,594
1610612761,Toronto Raptors,2023,1455,2198,714,1663,388,1007,612,1869,265,731
1610612762,Utah Jazz,2023,1377,2048,801,1696,216,528,794,2357,297,721
1610612764,Washington Wizards,2023,1419,1972,681,1576,435,984,681,1983,238,596
